  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:44:42      4.79      1.76      4.36      4.66
13:44:43      4.56      0.00      2.41      1.81
13:44:44      5.68      0.00      0.00      0.00
13:44:45      5.50      0.00      0.18      0.00
13:44:46      7.75     23.17     66.37     50.75
13:44:47     12.66     93.65     57.70     47.31
13:44:48     12.68     90.94     56.49     46.04
13:44:49     11.73     91.86     57.07     46.57
13:44:50     12.62     93.35     58.27     47.55
13:44:51     13.03     89.98     55.91     45.61
13:44:52     11.90     58.44     41.45     34.07
13:44:53     13.65     91.79     56.92     46.42
13:44:54     14.77     91.94     57.07     46.60
13:44:55     12.16     92.77     57.48     46.89
13:44:56     12.73     93.23     57.79     47.01
13:44:57     12.21     94.01     58.60     47.81
13:44:58     14.15     94.28     58.33     47.76
13:44:59     12.80     93.04     57.56     46.92
13:45:00     15.10     92.73     57.39     46.80
13:45:01     14.02     92.60     57.71     47.12
13:45:02     11.26     56.65     37.53     30.53
13:45:03     12.66     90.19     56.26     45.73
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:45:04     13.37     90.99     56.21     45.96
13:45:05     14.05     89.90     55.41     45.15
13:45:06     14.31     93.02     57.75     47.12
13:45:07     12.66     82.11     50.82     41.32
13:45:08     14.12     91.53     56.92     46.31
13:45:09     13.42     93.86     57.97     47.24
13:45:10     13.11     89.48     55.87     45.61
13:45:11     13.10     91.90     56.68     46.31
13:45:12      8.95     39.01     34.50     28.60
13:45:13     13.72     90.74     56.94     46.43
13:45:14     13.61     91.39     57.24     46.60
13:45:15     14.03     92.62     57.09     46.66
13:45:16     13.92     92.44     57.62     46.89
13:45:17     15.31     93.84     57.82     47.12
13:45:18     13.22     93.03     57.47     47.07
13:45:19     12.25     92.97     57.66     47.01
13:45:20     13.02     93.49     58.49     47.62
13:45:21     14.26     93.08     57.65     47.15
13:45:22     12.65     93.63     57.82     47.12
13:45:23     14.29     92.71     57.49     46.89
13:45:24     12.46     93.18     57.53     46.89
13:45:25     13.24     94.29     58.68     47.87
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:45:26     13.21     93.13     57.79     47.12
13:45:27     13.52     92.56     57.25     46.54
13:45:28     13.04     91.86     56.92     46.54
13:45:29     12.46     92.71     57.51     46.89
13:45:30     12.92     94.18     58.38     47.55
13:45:31     11.89     94.06     58.26     47.50
