  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:44:42      5.26      0.79      4.48      3.18
13:44:43      5.02      1.50      3.33      4.13
13:44:44      7.07      2.08      0.00      0.00
13:44:45      6.14      0.82      0.00      0.00
13:44:46     11.46     14.45     59.71     46.26
13:44:47     13.17     92.91     81.28     73.99
13:44:48     14.39     91.80     79.11     71.87
13:44:49     12.22     92.01     79.63     72.21
13:44:50     12.17     93.49     81.25     73.61
13:44:51     14.87     92.80     79.16     71.70
13:44:52     12.55     58.40     55.47     49.56
13:44:53     13.27     92.13     79.04     71.78
13:44:54     15.03     92.36     80.32     72.75
13:44:55     12.34     92.10     79.54     72.16
13:44:56     13.82     93.38     80.56     73.02
13:44:57     12.97     94.70     81.95     74.24
13:44:58     13.04     93.95     81.35     73.77
13:44:59     15.02     93.27     80.42     72.80
13:45:00     14.43     93.37     80.41     73.13
13:45:01     13.71     92.39     79.78     72.33
13:45:02     10.24     60.35     54.77     49.23
13:45:03     14.96     87.02     75.84     68.41
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:45:04     14.50     91.50     78.65     71.47
13:45:05     14.40     89.71     77.19     69.98
13:45:06     14.16     92.79     79.92     72.45
13:45:07     12.89     82.44     71.38     64.46
13:45:08     15.08     91.50     79.01     71.40
13:45:09     14.97     94.03     81.04     73.61
13:45:10     13.88     90.40     78.28     70.97
13:45:11     13.67     91.59     78.99     71.57
13:45:12      9.68     39.91     44.81     39.94
13:45:13     13.67     91.46     78.78     71.57
13:45:14     14.36     92.00     79.55     72.12
13:45:15     13.98     92.25     79.77     72.29
13:45:16     13.78     92.70     79.93     72.47
13:45:17     14.56     93.94     80.83     73.24
13:45:18     14.46     92.91     80.02     72.54
13:45:19     13.11     93.62     80.48     72.93
13:45:20     12.83     93.39     81.16     73.52
13:45:21     11.51     93.27     80.47     72.93
13:45:22     14.39     93.75     80.74     73.16
13:45:23     15.28     94.98     80.09     72.58
13:45:24     13.04     94.14     80.41     72.88
13:45:25     12.51     94.36     81.47     73.85
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:45:26     12.77     94.02     80.99     73.41
13:45:27     13.33     92.29     79.89     72.40
13:45:28     13.68     92.06     79.36     71.78
13:45:29     12.26     92.40     79.97     72.55
13:45:30     13.65     94.23     81.11     73.67
13:45:31     12.77     94.39     81.22     73.65
13:45:32     12.50     87.32     79.05     71.40
13:45:33     14.05     93.32     80.86     73.04
13:45:34     15.10     94.02     80.50     73.26
13:45:35     15.94     93.40     80.54     72.99
13:45:36     14.82     93.16     80.18     72.68
13:45:37     15.05     91.37     80.11     72.55
13:45:38     13.75     92.53     79.95     72.36
13:45:39     14.15     92.05     78.95     71.67
13:45:40     14.09     93.02     79.87     72.28
13:45:41     14.94     95.24     80.26     72.90
13:45:42     15.12     93.87     80.74     72.93
13:45:43     13.30     91.95     79.38     71.98
13:45:44     13.98     93.83     81.13     73.64
13:45:45     11.48     96.52     83.45     75.52
13:45:46     11.90     95.82     83.25     75.51
13:45:47     14.12     95.16     80.19     72.41
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:45:48     11.49     95.57     82.04     74.57
13:45:49     11.45     96.43     82.84     75.08
13:45:50     12.49     95.75     82.78     74.98
13:45:51     13.15     94.17     81.15     73.56
13:45:52     13.21     92.33     79.53     72.07
13:45:53     13.53     94.64     81.87     74.15
13:45:54     15.40     94.00     79.89     72.36
13:45:55     14.71     94.37     80.34     72.66
13:45:56     15.03     93.03     79.73     72.30
13:45:57     14.08     93.20     80.11     72.78
13:45:58     12.82     92.34     79.51     71.94
13:45:59     14.16     93.53     80.32     72.92
13:46:00     12.80     93.49     80.73     73.17
13:46:01     13.01     93.13     80.27     72.64
13:46:02     12.71     93.45     80.04     72.66
13:46:03     14.85     93.44     80.81     73.02
13:46:04     15.00     92.06     79.03     71.86
13:46:05     14.46     91.05     78.09     70.76
13:46:06     15.98     93.58     80.58     73.00
13:46:07     14.23     94.45     82.05     74.34
13:46:08     15.36     93.86     81.38     73.61
13:46:09     13.40     94.04     80.91     73.26
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:46:10     12.43     94.90     82.65     73.92
13:46:11     16.23     95.58     80.62     72.50
13:46:12     16.08     91.94     79.64     71.60
13:46:13     15.72     95.22     80.42     72.19
13:46:14     12.51     92.81     81.51     73.17
13:46:15     13.93     94.86     82.31     73.86
13:46:16     12.97     93.58     81.13     72.79
13:46:17     14.30     93.56     81.87     73.37
13:46:18     13.04     94.66     82.26     73.73
13:46:19     14.66     95.66     81.25     73.14
13:46:20     13.44     93.99     81.38     73.03
13:46:21     12.24     94.26     81.32     73.04
13:46:22     13.61     91.95     79.91     71.70
13:46:23     14.50     93.20     80.82     72.56
13:46:24     12.77     93.73     80.46     72.18
13:46:25     14.04     91.49     80.51     72.26
13:46:26     13.13     93.32     81.24     72.90
13:46:27     13.85     94.06     80.58     72.19
13:46:28     13.90     94.03     81.76     73.27
13:46:29     12.36     93.56     81.71     73.55
13:46:30     12.64     94.18     82.05     73.37
13:46:31     11.82     95.76     83.38     74.93
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:46:32     12.31     97.07     84.21     75.67
13:46:33     12.71     97.41     83.76     75.04
