  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:44:42      5.16      1.81      4.36      4.66
13:44:43      4.64      0.00      2.41      1.75
13:44:44      5.87      0.22      0.00      0.00
13:44:45      5.82      0.32      0.00      0.00
13:44:46      8.38    104.41    209.51    271.46
13:44:47     14.37    432.12    216.20    254.87
13:44:48     14.70    424.33    209.87    248.44
13:44:49     13.02    428.17    212.09    250.57
13:44:50     12.73    440.67    215.78    255.58
13:44:51     15.72    422.45    208.06    246.90
13:44:52     13.50    272.54    152.28    179.82
13:44:53     14.92    430.28    210.97    250.23
13:44:54     15.14    431.55    212.41    250.82
13:44:55     13.24    435.41    213.20    252.53
13:44:56     13.98    438.56    214.42    254.39
13:44:57     12.27    441.84    217.42    256.88
13:44:58     15.25    445.02    216.41    256.80
13:44:59     13.91    440.13    214.09    252.86
13:45:00     14.91    434.95    213.16    252.35
13:45:01     13.87    432.61    213.83    253.23
13:45:02     13.03    266.09    137.79    164.62
13:45:03     15.20    423.25    208.44    246.86
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:45:04     14.82    426.58    208.60    246.51
13:45:05     14.77    422.52    206.11    244.19
13:45:06     15.42    435.50    213.90    253.43
13:45:07     12.92    387.96    188.43    223.84
13:45:08     14.23    433.45    210.40    249.74
13:45:09     14.46    441.86    215.31    254.60
13:45:10     15.67    422.60    207.16    245.52
13:45:11     14.94    430.94    211.06    249.59
13:45:12     10.01    184.82    124.67    147.78
13:45:13     15.56    429.18    212.20    250.61
13:45:14     13.72    429.41    211.32    250.29
13:45:15     15.16    431.99    212.66    251.81
13:45:16     14.92    433.74    212.90    252.38
13:45:17     13.89    437.60    214.74    254.72
13:45:18     14.87    433.17    213.45    252.28
13:45:19     13.58    434.69    213.98    253.60
13:45:20     13.13    434.47    216.66    256.30
13:45:21     14.71    435.76    214.25    253.76
13:45:22     15.80    439.71    214.32    254.47
13:45:23     13.43    434.80    212.94    252.20
13:45:24     14.47    437.26    214.26    253.25
13:45:25     16.11    442.65    217.58    257.59
  Time         enp1s0f0            enp6s0f1     
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out
13:45:26     13.44    436.45    214.07    254.13
13:45:27     15.01    435.15    212.76    251.53
13:45:28     14.08    432.79    211.35    250.19
13:45:29     17.42    434.65    213.13    253.03
13:45:30     15.34    440.68    216.23    256.23
