2023-04-07 13:44:41 0.01, 0.20, 0.13
2023-04-07 13:44:42 0.01, 0.20, 0.13
2023-04-07 13:44:43 0.01, 0.20, 0.13
2023-04-07 13:44:44 0.09, 0.21, 0.14
2023-04-07 13:44:45 0.09, 0.21, 0.14
2023-04-07 13:44:46 0.09, 0.21, 0.14
2023-04-07 13:44:47 0.09, 0.21, 0.14
2023-04-07 13:44:48 0.09, 0.21, 0.14
2023-04-07 13:44:49 0.08, 0.21, 0.14
2023-04-07 13:44:50 0.08, 0.21, 0.14
2023-04-07 13:44:51 0.08, 0.21, 0.14
2023-04-07 13:44:52 0.08, 0.21, 0.14
2023-04-07 13:44:53 0.08, 0.21, 0.14
2023-04-07 13:44:54 0.15, 0.22, 0.14
2023-04-07 13:44:55 0.15, 0.22, 0.14
2023-04-07 13:44:56 0.15, 0.22, 0.14
2023-04-07 13:44:57 0.15, 0.22, 0.14
2023-04-07 13:44:58 0.15, 0.22, 0.14
2023-04-07 13:44:59 0.22, 0.24, 0.15
2023-04-07 13:45:00 0.22, 0.24, 0.15
2023-04-07 13:45:01 0.22, 0.24, 0.15
2023-04-07 13:45:02 0.22, 0.24, 0.15
2023-04-07 13:45:03 0.22, 0.24, 0.15
2023-04-07 13:45:04 0.20, 0.23, 0.15
2023-04-07 13:45:05 0.20, 0.23, 0.15
2023-04-07 13:45:06 0.20, 0.23, 0.15
2023-04-07 13:45:07 0.20, 0.23, 0.15
2023-04-07 13:45:08 0.20, 0.23, 0.15
2023-04-07 13:45:09 0.19, 0.23, 0.14
2023-04-07 13:45:10 0.19, 0.23, 0.14
2023-04-07 13:45:11 0.19, 0.23, 0.14
2023-04-07 13:45:12 0.19, 0.23, 0.14
2023-04-07 13:45:13 0.19, 0.23, 0.14
2023-04-07 13:45:14 0.25, 0.24, 0.15
2023-04-07 13:45:15 0.25, 0.24, 0.15
2023-04-07 13:45:16 0.25, 0.24, 0.15
2023-04-07 13:45:17 0.25, 0.24, 0.15
2023-04-07 13:45:18 0.25, 0.24, 0.15
2023-04-07 13:45:19 0.23, 0.24, 0.15
2023-04-07 13:45:20 0.23, 0.24, 0.15
2023-04-07 13:45:21 0.23, 0.24, 0.15
2023-04-07 13:45:22 0.23, 0.24, 0.15
2023-04-07 13:45:23 0.23, 0.24, 0.15
2023-04-07 13:45:24 0.29, 0.25, 0.15
2023-04-07 13:45:25 0.29, 0.25, 0.15
2023-04-07 13:45:26 0.29, 0.25, 0.15
2023-04-07 13:45:27 0.29, 0.25, 0.15
2023-04-07 13:45:28 0.29, 0.25, 0.15
2023-04-07 13:45:29 0.43, 0.28, 0.16
2023-04-07 13:45:30 0.43, 0.28, 0.16
2023-04-07 13:45:31 0.43, 0.28, 0.16
2023-04-07 13:45:32 0.43, 0.28, 0.16
2023-04-07 13:45:33 0.43, 0.28, 0.16
2023-04-07 13:45:34 0.56, 0.31, 0.17
2023-04-07 13:45:35 0.56, 0.31, 0.17
2023-04-07 13:45:36 0.56, 0.31, 0.17
2023-04-07 13:45:37 0.56, 0.31, 0.17
2023-04-07 13:45:38 0.56, 0.31, 0.17
2023-04-07 13:45:39 0.67, 0.33, 0.18
2023-04-07 13:45:40 0.67, 0.33, 0.18
2023-04-07 13:45:41 0.67, 0.33, 0.18
2023-04-07 13:45:42 0.67, 0.33, 0.18
2023-04-07 13:45:43 0.67, 0.33, 0.18
2023-04-07 13:45:44 0.70, 0.35, 0.19
2023-04-07 13:45:45 0.70, 0.35, 0.19
2023-04-07 13:45:46 0.70, 0.35, 0.19
2023-04-07 13:45:47 0.70, 0.35, 0.19
2023-04-07 13:45:48 0.70, 0.35, 0.19
2023-04-07 13:45:49 0.64, 0.34, 0.19
2023-04-07 13:45:50 0.64, 0.34, 0.19
2023-04-07 13:45:51 0.64, 0.34, 0.19
2023-04-07 13:45:52 0.64, 0.34, 0.19
2023-04-07 13:45:53 0.64, 0.34, 0.19
2023-04-07 13:45:54 0.59, 0.33, 0.19
2023-04-07 13:45:55 0.59, 0.33, 0.19
2023-04-07 13:45:56 0.59, 0.33, 0.19
2023-04-07 13:45:57 0.59, 0.33, 0.19
2023-04-07 13:45:58 0.59, 0.33, 0.19
2023-04-07 13:45:59 0.54, 0.33, 0.18
2023-04-07 13:46:00 0.54, 0.33, 0.18
2023-04-07 13:46:01 0.54, 0.33, 0.18
2023-04-07 13:46:02 0.54, 0.33, 0.18
2023-04-07 13:46:03 0.54, 0.33, 0.18
2023-04-07 13:46:04 0.58, 0.34, 0.19
2023-04-07 13:46:05 0.58, 0.34, 0.19
2023-04-07 13:46:06 0.58, 0.34, 0.19
2023-04-07 13:46:07 0.58, 0.34, 0.19
2023-04-07 13:46:08 0.58, 0.34, 0.19
2023-04-07 13:46:09 0.53, 0.33, 0.19
2023-04-07 13:46:10 0.53, 0.33, 0.19
2023-04-07 13:46:11 0.53, 0.33, 0.19
2023-04-07 13:46:12 0.53, 0.33, 0.19
2023-04-07 13:46:13 0.53, 0.33, 0.19
2023-04-07 13:46:14 0.65, 0.36, 0.20
2023-04-07 13:46:15 0.65, 0.36, 0.20
2023-04-07 13:46:16 0.65, 0.36, 0.20
2023-04-07 13:46:17 0.65, 0.36, 0.20
2023-04-07 13:46:18 0.65, 0.36, 0.20
2023-04-07 13:46:19 0.60, 0.36, 0.20
2023-04-07 13:46:20 0.60, 0.36, 0.20
2023-04-07 13:46:21 0.60, 0.36, 0.20
2023-04-07 13:46:22 0.60, 0.36, 0.20
2023-04-07 13:46:23 0.60, 0.36, 0.20
2023-04-07 13:46:24 0.55, 0.35, 0.19
2023-04-07 13:46:25 0.55, 0.35, 0.19
2023-04-07 13:46:26 0.55, 0.35, 0.19
2023-04-07 13:46:27 0.55, 0.35, 0.19
2023-04-07 13:46:28 0.55, 0.35, 0.19
2023-04-07 13:46:29 0.75, 0.39, 0.21
2023-04-07 13:46:30 0.75, 0.39, 0.21
2023-04-07 13:46:31 0.75, 0.39, 0.21
2023-04-07 13:46:32 0.75, 0.39, 0.21
2023-04-07 13:46:33 0.75, 0.39, 0.21
2023-04-07 13:46:34 0.85, 0.42, 0.22
2023-04-07 13:46:35 0.85, 0.42, 0.22
2023-04-07 13:46:36 0.85, 0.42, 0.22
2023-04-07 13:46:37 0.85, 0.42, 0.22
2023-04-07 13:46:38 0.85, 0.42, 0.22
2023-04-07 13:46:39 0.94, 0.45, 0.23
2023-04-07 13:46:40 0.94, 0.45, 0.23
